datetime,capital,position_value,equity
2020-10-14,1152423.3371414766,0.0,1152423.3371414766
2020-10-15,1152423.3371414766,0.0,1152423.3371414766
2020-10-16,1152423.3371414766,0.0,1152423.3371414766
2020-10-19,1152423.3371414766,0.0,1152423.3371414766
2020-10-20,1152423.3371414766,0.0,1152423.3371414766
2020-10-21,1152423.3371414766,0.0,1152423.3371414766
2020-10-22,1152423.3371414766,0.0,1152423.3371414766
2020-10-23,1152423.3371414766,0.0,1152423.3371414766
2020-10-26,1152423.3371414766,0.0,1152423.3371414766
2020-10-27,1152423.3371414766,0.0,1152423.3371414766
2020-10-28,1152423.3371414766,0.0,1152423.3371414766
2020-10-29,1152423.3371414766,0.0,1152423.3371414766
2020-10-30,1152423.3371414766,0.0,1152423.3371414766
2020-11-02,1152423.3371414766,0.0,1152423.3371414766
2020-11-03,1152423.3371414766,0.0,1152423.3371414766
2020-11-04,1152423.3371414766,0.0,1152423.3371414766
2020-11-05,1152423.3371414766,0.0,1152423.3371414766
2020-11-06,1152423.3371414766,0.0,1152423.3371414766
2020-11-09,1152423.3371414766,0.0,1152423.3371414766
2020-11-10,1152423.3371414766,0.0,1152423.3371414766
2020-11-11,1152423.3371414766,0.0,1152423.3371414766
2020-11-12,1152423.3371414766,0.0,1152423.3371414766
2020-11-13,1152423.3371414766,0.0,1152423.3371414766
2020-11-16,1152423.3371414766,0.0,1152423.3371414766
2020-11-17,1152423.3371414766,0.0,1152423.3371414766
2020-11-18,1152423.3371414766,0.0,1152423.3371414766
2020-11-19,1152423.3371414766,0.0,1152423.3371414766
2020-11-20,1152423.3371414766,0.0,1152423.3371414766
2020-11-23,1152423.3371414766,0.0,1152423.3371414766
2020-11-24,1152423.3371414766,0.0,1152423.3371414766
2020-11-25,1152423.3371414766,0.0,1152423.3371414766
2020-11-26,1152423.3371414766,0.0,1152423.3371414766
2020-11-27,1152423.3371414766,0.0,1152423.3371414766
2020-11-30,1152423.3371414766,0.0,1152423.3371414766
2020-12-01,1152423.3371414766,0.0,1152423.3371414766
2020-12-02,1152423.3371414766,0.0,1152423.3371414766
2020-12-03,1152423.3371414766,0.0,1152423.3371414766
2020-12-04,1152423.3371414766,0.0,1152423.3371414766
2020-12-07,1152423.3371414766,0.0,1152423.3371414766
2020-12-08,205994.7326023446,944609.5581054688,1150604.2907078133
2020-12-09,205994.7326023446,937398.9868164062,1143393.7194187508
2020-12-10,205994.7326023446,922977.4169921875,1128972.149594532
2020-12-11,205994.7326023446,930188.1103515625,1136182.842953907
2020-12-14,205994.7326023446,915766.5405273438,1121761.2731296883
2020-12-15,1110078.013137516,0.0,1110078.013137516
2020-12-16,1110078.013137516,0.0,1110078.013137516
2020-12-17,1110078.013137516,0.0,1110078.013137516
2020-12-18,1110078.013137516,0.0,1110078.013137516
2020-12-21,1110078.013137516,0.0,1110078.013137516
2020-12-22,1110078.013137516,0.0,1110078.013137516
2020-12-23,1110078.013137516,0.0,1110078.013137516
2020-12-24,1110078.013137516,0.0,1110078.013137516
2020-12-25,1110078.013137516,0.0,1110078.013137516
2020-12-28,1110078.013137516,0.0,1110078.013137516
2020-12-29,1110078.013137516,0.0,1110078.013137516
2020-12-30,1110078.013137516,0.0,1110078.013137516
2020-12-31,1110078.013137516,0.0,1110078.013137516
2021-01-04,137225.20790119958,970982.9711914062,1108208.1790926058
2021-01-05,137225.20790119958,981852.2338867188,1119077.4417879183
2021-01-06,632043.6287145877,497266.357421875,1129309.9861364625
2021-01-07,632043.6287145877,511758.6364746094,1143802.265189197
2021-01-08,632043.6287145877,525345.2758789062,1157388.9045934938
2021-01-11,632043.6287145877,528968.3227539062,1161011.9514684938
2021-01-12,632043.6287145877,535308.7158203125,1167352.3445349
2021-01-13,632043.6287145877,547989.5629882812,1180033.1917028688
2021-01-14,632043.6287145877,536214.35546875,1168257.9841833375
